X,Y,Z,angle,lsx,lsy,formation,group
486394.2260012571,7461434.933886969,253.,119.73158211683425,0.8683582797662317,-0.49593739318731633,Ashburton_Formation,Wyloo_Group
484867.2243495006,7462296.595303315,256.,118.7479106027033,0.8767442952757148,-0.4809567971257816,Ashburton_Formation,Wyloo_Group
484049.66022739187,7462772.846240985,255.,122.08219065250599,0.8472870560077164,-0.5311352414609457,Ashburton_Formation,Wyloo_Group
483254.2437700392,7463256.353921683,255.,120.65052277977469,0.8602928253796716,-0.5098002104749093,Ashburton_Formation,Wyloo_Group
482412.52517131856,7463775.580394062,254.,122.76389075745084,0.8409078346938627,-0.5411783565059484,Ashburton_Formation,Wyloo_Group
481714.0237654988,7464271.675112955,260.,128.65980164750988,0.7808688814744726,-0.6246949575151107,Ashburton_Formation,Wyloo_Group
481182.21019327454,7464751.894849161,252.,135.954850771486,0.6952249964262465,-0.718792184392767,Ashburton_Formation,Wyloo_Group
480705.95922840433,7465283.70848426,254.,140.11731217471137,0.6412177999273311,-0.7673589336525334,Ashburton_Formation,Wyloo_Group
480156.8899121154,7465849.016038027,258.,131.91604942413682,0.7441244469197784,-0.6680410223154969,Ashburton_Formation,Wyloo_Group
479545.64342215285,7466303.198377758,255.,120.4110843545247,0.8624157565437661,-0.5062006152357418,Ashburton_Formation,Wyloo_Group
478930.4859365178,7466673.615805646,255.,121.67546808278664,0.8510360188056084,-0.5251073173128518,Ashburton_Formation,Wyloo_Group
478360.5723050069,7467017.839392262,255.,120.47065847969239,0.8618889609582715,-0.5070970508475385,Ashburton_Formation,Wyloo_Group
477835.63793347497,7467313.115013163,252.,118.24974320046721,0.8808928596140387,-0.473315719030122,Ashburton_Formation,Wyloo_Group
477315.7306122007,7467571.084269924,253.,114.37645559156944,0.9108533398606752,-0.4127301700441265,Ashburton_Formation,Wyloo_Group
476795.8233424169,7467769.52212711,254.,107.40271039498825,0.9542261812292395,-0.29908593256230265,Ashburton_Formation,Wyloo_Group
475890.946572931,7468015.585124961,246.,104.28717119225763,0.969071011414065,-0.24678203912951452,Ashburton_Formation,Wyloo_Group
474934.4758718363,7468293.398216367,242.,109.92558640501377,0.9401360309799326,-0.34079941791807555,Ashburton_Formation,Wyloo_Group
473774.01105861086,7468655.613500921,241.,106.33889448310853,0.9596145439533306,-0.2813181953469085,Ashburton_Formation,Wyloo_Group
472441.5667323773,7469035.026719963,246.,105.1240096409855,0.9653633824059135,-0.2609090644454772,Ashburton_Formation,Wyloo_Group
471462.6064080084,7469319.45441225,243.,107.26581052486347,0.9549380787206995,-0.2968050973437269,Ashburton_Formation,Wyloo_Group
470437.3439248558,7469650.184194781,240.,108.43494300021227,0.9486833301873,-0.31622766960646326,Ashburton_Formation,Wyloo_Group
469550.98801792087,7469941.226424371,236.,107.78389608614222,0.9522152757869033,-0.30542768138803567,Ashburton_Formation,Wyloo_Group
468849.84080618294,7470199.195730405,236.,112.54306018235211,0.9235916689714524,-0.3833776584603322,Ashburton_Formation,Wyloo_Group
468056.0891751391,7470483.623386787,230.,107.40270344969638,0.9542262174838942,-0.29908581689271024,Ashburton_Formation,Wyloo_Group
467300.5315177762,7470749.075439014,231.,112.05295155108664,0.926837255145777,-0.37546331708149866,Ashburton_Formation,Wyloo_Group
466776.4847628665,7471013.204594872,228.,123.02387223515645,0.8384435717913074,-0.5449884190712998,Ashburton_Formation,Wyloo_Group
466406.0674062236,7471267.2051342,233.,126.25384805456517,0.806404889370186,-0.5913638088350166,Ashburton_Formation,Wyloo_Group
466070.216596649,7471479.326899729,232.,118.38671878988146,0.8797587993268212,-0.4754202930113838,Ashburton_Formation,Wyloo_Group
465774.0533872666,7471654.406993898,232.,123.6901088026257,0.8320498947241869,-0.5547007956452463,Ashburton_Formation,Wyloo_Group
464880.5537296273,7472015.828617843,232.,110.01139102272168,0.939624604899346,-0.34220695765537557,Ashburton_Formation,Wyloo_Group
463624.57410497824,7472497.371186737,234.,112.50352303373255,0.9238560001198964,-0.3827402396436333,Ashburton_Formation,Wyloo_Group
462689.0055424641,7472906.682404321,234.,114.80266274464246,0.9077579840786577,-0.41949426973613263,Ashburton_Formation,Wyloo_Group
462038.9230203754,7473226.564317599,228.,119.31001070501851,0.8719837543357332,-0.48953481201499854,Ashburton_Formation,Wyloo_Group
461578.0179565074,7473463.896056425,230.,115.66519384032752,0.9013402951670773,-0.4331116164548422,Ashburton_Formation,Wyloo_Group
460700.92243574886,7473866.3281117305,228.,114.20096993519961,0.9121131766337705,-0.40993847466546995,Ashburton_Formation,Wyloo_Group
459858.22285980545,7474261.880954945,233.,117.5820298291159,0.8863488431838394,-0.4630180646439936,Ashburton_Formation,Wyloo_Group
459225.3382563107,7474543.927370442,235.,111.88579390846081,0.9279287051145816,-0.3727577205429501,Ashburton_Formation,Wyloo_Group
458661.2454325836,7474777.81954258,231.,114.07550133169599,0.913008688710629,-0.40794011121596957,Ashburton_Formation,Wyloo_Group
458320.7259791326,7474936.040696435,239.,115.67681127739021,0.9012524578334451,-0.4332943655866925,Ashburton_Formation,Wyloo_Group
457963.00856407266,7475132.097306579,237.,121.60749457178285,0.8516583869046092,-0.5240973115892115,Ashburton_Formation,Wyloo_Group
457608.7307585138,7475359.110252389,242.,123.69007126064545,0.8320502581812559,-0.554700250460107,Ashburton_Formation,Wyloo_Group
457330.1239698301,7475599.881562139,241.,140.19442877040018,0.6401844015058613,-0.7682212780628914,Ashburton_Formation,Wyloo_Group
457140.946555702,7475923.203018034,241.,156.68229877735016,0.39582923274707804,-0.918324135859915,Ashburton_Formation,Wyloo_Group
456951.7691108254,7476287.799559149,244.,147.994610456768,0.5299990337656708,-0.8479982454035241,Ashburton_Formation,Wyloo_Group
456766.0311895702,7476573.28554662,256.,145.56100310084386,0.5655284648088322,-0.8247287769266727,Ashburton_Formation,Wyloo_Group
456556.21618118836,7476800.298532338,256.,129.95755936161538,0.7665203642630203,-0.6422200021566494,Ashburton_Formation,Wyloo_Group
456394.5554879829,7477047.949014289,251.,166.2930428773136,0.23695611437721206,-0.9715203548352723,Ashburton_Formation,Wyloo_Group
456363.5991402939,7477323.116229389,251.,1.4687779533055902,-0.025632203667283516,-0.9996714410921016,Ashburton_Formation,Wyloo_Group
456391.1158401668,7477543.250055782,260.,15.642260845008252,-0.2696301673341652,-0.9629639520061746,Ashburton_Formation,Wyloo_Group
456471.9941797221,7477783.000504565,260.,20.27488142490685,-0.34652444601306587,-0.9380409417052851,Ashburton_Formation,Wyloo_Group
495302.92964447476,7456479.496348637,266.,89.9820914863292,-0.9999999511523335,-0.0003125625226047223,Ashburton_Formation,Wyloo_Group
500389.14919088816,7460367.554622185,282.,105.88517351004795,-0.9618121700672461,0.273710338698659,Ashburton_Formation,Wyloo_Group
434922.1918135965,7485618.913164156,189.,89.40347189993949,-0.9999458020787927,-0.010411191334334935,Hardey_Formation,Fortescue_Group
435218.38230192964,7485628.46777685,193.,85.7001452841503,-0.997185323644476,-0.07497619827693253,Hardey_Formation,Fortescue_Group
435357.8247747886,7485645.186807664,193.,76.89309920056704,-0.973948661952544,-0.22676861308578175,Hardey_Formation,Fortescue_Group
435469.2358123594,7485636.415113475,193.,104.04691880849073,-0.970097294107061,0.24271637762243883,Hardey_Formation,Fortescue_Group
435586.5180769719,7485582.968644116,195.,127.98504669648297,-0.7881714047967578,0.615455795862469,Hardey_Formation,Fortescue_Group
