hint,code
0.01,A-MRje-gg
0.02,A-MRwa-gm
0.03,A-MRca-gm
0.04,A-MRwh-ggp
0.05,A-MRto-mgta
0.06,A-MRmi-gm
0.07,A-MRhe-gmp
0.08,A-MRbr-gmp
0.09,A-MRma-gg
0.0,A-MRer-gm
0.01,A-MRje-gg
0.02,A-MRwa-gm
0.03,A-MRca-gm
0.04,A-MRwh-ggp
0.05,A-MRto-mgta
0.06,A-MRmi-gm
0.07,A-MRhe-gmp
0.08,A-MRbr-gmp
0.09,A-MRma-gg
0.0,A-STzh-xod-ax
0.01,A-STmu-xo-a
0.02,A-STrh-xo-a
0.03,A-STdi-xo-a
0.04,A-STma-xo-a
0.05,A-STms-xo-a
0.06,A-STnw-o
0.07,A-STya-gfh
0.0,E-KJmw-od
0.01,E-KJdv-od
0.0,A-EH-jmggn-mw
0.01,A-EH-gnl
0.02,A-EH-gnli
0.03,A-EH-gth
0.04,A-EHco-gtl
0.05,A-EH-xgnl-gp
0.06,A-EHcl-mgt
0.0,A-FO-xb-s
0.01,P_-HAU-xci-f
0.02,A-HAr-xsk-c
0.03,A-HAu-xsl-ci
0.04,A-HAy-xci-sl
0.05,A-HAd-kd
0.06,A-HAc-kds
0.07,A-HAm-cib
0.0,P_-MN-sgp
0.01,P_-MN-sh
0.02,P_-MN-sl
0.03,P_-MN-ss
0.04,P_-MN-st
0.05,P_-MNh-sp
0.06,P_-MNb-sl
0.07,P_-MNj-sg
0.08,P_-MNe-kd
0.09,P_-MNs-ss
0.1,P_-MNw-sf
0.11,P_-MNc-sp
0.0,P_-og
0.0,A-CEta-mgt
0.01,A-CEst-gm
0.02,A-CEka-mggb
0.03,A-CE-gmh
0.04,A-CE-gth
0.05,A-CEwo-gmp
0.06,A-CE-mgm
0.07,A-CEkr-gg
0.08,A-CEgc-mgm
0.09,A-CEsf-mgg
0.1,A-CE-mgtn
0.11,A-CE-mgms
0.12,A-CE-mgmy
0.13,A-CE-xmgi-mgg
0.14,A-CE-xmgtn-mg
0.15,A-CE-xmg-mgn
0.16,A-CE-gpi
0.17,A-CEbu-gm
0.18,A-CE-gmm
0.19,A-CE-gtl
0.2,A-CE-jg-mw
0.0,A-WH-mod
0.01,A-WH-mogl
0.02,A-WH-mba
0.03,A-WH-max
0.04,A-WH-mus
0.05,A-WHw-f
0.06,A-WHb-b
0.07,A-WHt-xb-f
0.08,A-WHn-b
0,Cooya Pooya Dolerite
0.0,A-STI-gghp
0.01,A-STI-jggh-mwa
0.02,A-STI-gie
0.03,A-STI-gip
0.04,A-STI-gmh
0.05,A-STI-gmhp
0.06,A-STI-gmlt
0.07,A-STja-ggh
0.08,A-STjw-gg
0.09,A-STto-ggp
0.1,A-STge-gg
0.11,A-STci-ggh
0.12,A-STml-ggh
0.13,A-STpe-ggh
0.14,A-STwa-ggh
0.0,A-SOh-xmba-mgt
0.01,A-SOh-xmba-mu
0.02,A-SOh-xmtq-mba
0.03,A-SOh-xmus-mtq
0.04,A-SOh-xmw-mtq
0.05,A-SOh-mc
0.06,A-SOh-mba
0.07,A-SOh-mbal
0.08,A-SOh-mbaq
0.09,A-SOh-mbas
0.1,A-SOh-mbb
0.11,A-SOh-mbbs
0.12,A-SOh-mbd
0.13,A-SOh-mbm
0.14,A-SOh-mbmq
0.15,A-SOh-mbms
0.16,A-SOh-mbsz
0.17,A-SOh-mu
0.18,A-SOh-muk
0.19,A-SOh-musr
0.2,A-SOh-cc
0.21,A-SOh-cci
0.22,A-SOh-s
0.23,A-SOh-sl
0.24,A-SOh-bb
0.25,A-SOh-bbg
0.26,A-SOh-bbvx
0.27,A-SOh-bk
0.0,A-ST-mgia
0.01,A-ST-xmgi-mgg
0.02,A-ST-mgm
0.03,A-ST-mgmi
0.04,A-ST-mgms
0.05,A-ST-mgmy
0.06,A-ST-xgm-mgn
0.07,A-ST-xgmp-mgn
0.08,A-ST-xgmp-mwa
0.09,A-ST-xmgn-gm
0.1,A-ST-gp
0.11,A-ST-gpi
0.12,A-ST-ggl
0.13,A-ST-gm
0.14,A-ST-gmp
0.15,A-ST-gmaf
0.16,A-ST-gmap
0.17,A-ST-gmb
0.18,A-ST-gml
0.19,A-ST-gmly
0.2,A-ST-gmpi
0.21,A-ST-gnd
0.22,A-ST-xmog-gi
0.23,A-ST-od
0.24,A-ST-ogl
0.25,A-ST-og
0.26,A-STbs-gmp
0.27,A-STR-xo-a
0.28,A-STmg-gme
0.29,A-STwo-gm
0.3,A-STpo-gm
0.31,A-STki-gmp
0.32,A-STch-mgm
0.33,A-STsa-gm
0.34,A-STug-gmp
0.35,A-STpr-gmp
0.36,A-STbe-gm
0.37,A-STmr-gg
0.38,A-STP-g
0.39,A-STab-mgm
0.4,A-STel-gmp
0.41,A-STcn-gmm
0.42,A-STew-gm
0.43,A-STic-gm
0.44,A-STpi-gmp
0.45,A-STyn-gg
0.46,A-STI-ggh
0.47,A-STL-xo-a
0.0,A-BKk-frb
0.01,A-BKn-b
0.02,A-BKl-xb-s
0.03,A-BKr-mlv
0.04,A-BKc-xs-fnv
0.0,A-BKk-frb
0.01,A-BKn-b
0.02,A-BKl-xb-s
0.03,A-BKr-mlv
0.04,A-BKc-xs-fnv
0.0,P_-TK-s
0.01,A-HAL-xkt-ci
0.02,P_-HAo-ci
0.03,P_-HAw-fr
0.04,P_-HAj-xci-od
0.05,P_-HAb-cib
0.0,A-STI-gghp
0.01,A-STI-jggh-mwa
0.02,A-STI-gie
0.03,A-STI-gip
0.04,A-STI-gmh
0.05,A-STI-gmhp
0.06,A-STI-gmlt
0.07,A-STja-ggh
0.08,A-STjw-gg
0.09,A-STto-ggp
0.1,A-STge-gg
0.11,A-STci-ggh
0.12,A-STml-ggh
0.13,A-STpe-ggh
0.14,A-STwa-ggh
0.0,A-MRer-gm
0.01,A-MRje-gg
0.02,A-MRwa-gm
0.03,A-MRca-gm
0.04,A-MRwh-ggp
0.05,A-MRto-mgta
0.06,A-MRmi-gm
0.07,A-MRhe-gmp
0.08,A-MRbr-gmp
0.09,A-MRma-gg
0.0,A-RA-mgmn
0.01,A-RAtw-gf
0.02,A-RAbu-xo-a
0.03,A-RApi-mgtn
0.0,P_-WYa-mh
0.01,P_-WYa-stq
0.02,P_-WYa-kd
0.03,P_-WYa-ca
0.04,P_-WYa-bbo
0.05,P_-WYa-f
0.06,P_-WYa-ss
0.07,P_-WYa-sc
0.08,P_-WYa-st
0.0,K-_na-sz
0.01,K-_ya-sc
0.0,A-ST-mgia
0.01,A-ST-xmgi-mgg
0.02,A-ST-mgm
0.03,A-ST-mgmi
0.04,A-ST-mgms
0.05,A-ST-mgmy
0.06,A-ST-xgm-mgn
0.07,A-ST-xgmp-mgn
0.08,A-ST-xgmp-mwa
0.09,A-ST-xmgn-gm
0.1,A-ST-gp
0.11,A-ST-gpi
0.12,A-ST-ggl
0.13,A-ST-gm
0.14,A-ST-gmp
0.15,A-ST-gmaf
0.16,A-ST-gmap
0.17,A-ST-gmb
0.18,A-ST-gml
0.19,A-ST-gmly
0.2,A-ST-gmpi
0.21,A-ST-gnd
0.22,A-ST-xmog-gi
0.23,A-ST-od
0.24,A-ST-ogl
0.25,A-ST-og
0.26,A-STbs-gmp
0.27,A-STR-xo-a
0.28,A-STmg-gme
0.29,A-STwo-gm
0.3,A-STpo-gm
0.31,A-STki-gmp
0.32,A-STch-mgm
0.33,A-STsa-gm
0.34,A-STug-gmp
0.35,A-STpr-gmp
0.36,A-STbe-gm
0.37,A-STmr-gg
0.38,A-STP-g
0.39,A-STab-mgm
0.4,A-STel-gmp
0.41,A-STcn-gmm
0.42,A-STew-gm
0.43,A-STic-gm
0.44,A-STpi-gmp
0.45,A-STyn-gg
0.46,A-STI-ggh
0.47,A-STL-xo-a
0.0,A-STzh-xod-ax
0.01,A-STmu-xo-a
0.02,A-STrh-xo-a
0.03,A-STdi-xo-a
0.04,A-STma-xo-a
0.05,A-STms-xo-a
0.06,A-STnw-o
0.07,A-STya-gfh
0.0,A-WH-mod
0.01,A-WH-mogl
0.02,A-WH-mba
0.03,A-WH-max
0.04,A-WH-mus
0.05,A-WHw-f
0.06,A-WHb-b
0.07,A-WHt-xb-f
0.08,A-WHn-b
0.0,A-PI-mfs
0.01,A-PI-xmwa-g
0.02,A-PI-mwa
0.03,A-PI-mws
0.04,A-PI-xmws-md
0.05,A-PI-xmwa-mu
0.06,A-PI-mod
0.07,A-PI-mog
0.08,A-PI-mba
0.09,A-PI-xmb-mu
0.1,A-PI-ma
0.11,A-PI-map
0.12,A-PI-mapt
0.13,A-PI-mats
0.14,A-PI-mu
0.15,A-PI-muk
0.16,A-PI-xmus-g
0.17,A-PI-musc
0.18,A-PI-musk
0.19,A-PI-musr
0.2,A-PI-mutk
0.21,A-PI-muts
0.22,A-PI-xmus-mbs
0.23,A-PI-cc
0.24,A-PI-ci
0.25,A-PI-stq
0.26,A-RO-xb-u
0.27,A-SS-xb-f
0.28,A-KE-xb-f
0.29,A-PIs-xs-c
0.3,A-WA-xb-f
0.0,A-STzh-xod-ax
0.01,A-STmu-xo-a
0.02,A-STrh-xo-a
0.03,A-STdi-xo-a
0.04,A-STma-xo-a
0.05,A-STms-xo-a
0.06,A-STnw-o
0.07,A-STya-gfh
0.0,A-WH-mod
0.01,A-WH-mogl
0.02,A-WH-mba
0.03,A-WH-max
0.04,A-WH-mus
0.05,A-WHw-f
0.06,A-WHb-b
0.07,A-WHt-xb-f
0.08,A-WHn-b
0.0,A-MRer-gm
0.01,A-MRje-gg
0.02,A-MRwa-gm
0.03,A-MRca-gm
0.04,A-MRwh-ggp
0.05,A-MRto-mgta
0.06,A-MRmi-gm
0.07,A-MRhe-gmp
0.08,A-MRbr-gmp
0.09,A-MRma-gg
0,Mundine Well Dolerite Suite
0.0,A-OP-mogq
0.01,A-OP-ogl
0.02,A-OP-xo-a
0.03,A-OPsn-gg
0.04,A-OPan-xo-a
0.05,A-OPso-gm
0.06,A-OPfo-gg
0.07,A-OPst-gv
0.08,A-OPmg-gh
0.09,A-OPmw-fdp
0.1,A-OPre-fdp
0.11,A-OPbl-gm
0.0,A-ST-mgia
0.01,A-ST-xmgi-mgg
0.02,A-ST-mgm
0.03,A-ST-mgmi
0.04,A-ST-mgms
0.05,A-ST-mgmy
0.06,A-ST-xgm-mgn
0.07,A-ST-xgmp-mgn
0.08,A-ST-xgmp-mwa
0.09,A-ST-xmgn-gm
0.1,A-ST-gp
0.11,A-ST-gpi
0.12,A-ST-ggl
0.13,A-ST-gm
0.14,A-ST-gmp
0.15,A-ST-gmaf
0.16,A-ST-gmap
0.17,A-ST-gmb
0.18,A-ST-gml
0.19,A-ST-gmly
0.2,A-ST-gmpi
0.21,A-ST-gnd
0.22,A-ST-xmog-gi
0.23,A-ST-od
0.24,A-ST-ogl
0.25,A-ST-og
0.26,A-STbs-gmp
0.27,A-STR-xo-a
0.28,A-STmg-gme
0.29,A-STwo-gm
0.3,A-STpo-gm
0.31,A-STki-gmp
0.32,A-STch-mgm
0.33,A-STsa-gm
0.34,A-STug-gmp
0.35,A-STpr-gmp
0.36,A-STbe-gm
0.37,A-STmr-gg
0.38,A-STP-g
0.39,A-STab-mgm
0.4,A-STel-gmp
0.41,A-STcn-gmm
0.42,A-STew-gm
0.43,A-STic-gm
0.44,A-STpi-gmp
0.45,A-STyn-gg
